6;GLC-FCS30D -  Global 30-meter Land Cover Change Dataset;International Research Center of Big Data for Sustainable Development Goals (CBAS);Liu et al. 2020;;https://gee-community-catalog.org/projects/glc_fcs/;https://zenodo.org/records/8239305;Level-1 classes are: Rainfed cropland, Irrigated cropland, Evergreen broadleaved forest, Deciduous broadleaved forest, Evergreen needleleaved forest, Deciduous needleleaved forest, Mixed-leaf forest, Shrubland, Grassland, Lichens and mosses, Inland wetland, Coastal wetland, Impervious surface, Sparse vegetation, Bare areas, Water body, Permanent snow and ice. ; (? NR, ? NR,  ? 15%). May incluse savanna and woody savanna into forest class. ;Global;30;2000;2022;annual;All available Landsat imagery from 1984 to 2022 – covering the Landsat 5 Thematic Mapper (TM), Landsat 7 Enhanced Thematic Mapper Plus (ETM+), Landsat 8 Operational Land Imager (OLI), and Landsat 9 OLI missions;NR;Continuous change detection (CCD) time-series algorithm proposed by Zhu and Woodcock (2014b) with the local adaptive updating method.;Rule-based / Threshold-based;NA;"Stratified random sampling based on landscape heterogeneity, population density, and Köppen climate groups; land-cover type determined via independent interpretation of high-resolution aerial imagery, multitemporal Landsat images, and ancillary data, followed by senior expert quality control";"GLC_FCS30D (2020); LCMAP_Val (30?m, period not specified); LUCAS (2006–2018, 3-year intervals)";"GLC_FCS30D: 84,526; LCMAP_Val: 24,971; LUCAS: 1,090,863";Global validation (2020) achieved 80.88% O.A. for the 10-class system and 73.04% O.A. for the finer 17-class LCCS level-1 system.;"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 92.83%; User's Accuracy  (Commision error) - 86.35%";Standard errors via post-stratified estimator;Using third-party datasets, mean O.A. was 79.50% over CONUS (LCMAP_Val, 1985–2018) and 81.91% over the EU (LUCAS, 2006–2018). Cropland and forest consistently showed high P.A. and U.A. (cropland >85% P.A. and >93% U.A.). Accuracy assessment followed Pontus Olofsson (2014) guidelines, combining site-specific confusion-matrix-based accuracy with area estimation.;"•  Dependence on observation density: reliability decreases in areas with sparse valid satellite observations.
•  Cloud and snow interference: cloudy or snowy regions increase uncertainty in detecting the timing of land-cover changes.
•  Sparse historical data: limited satellite data availability before the year 2000 reduces accuracy for early periods.
•  Climate-sensitive changes: land-cover changes influenced by climate are more difficult to capture accurately.";
7;FROM-GLC10 - Finer Resolution Observation and Monitoring of Global Land Cover;Department of Earth System Science, Tsinghua University;Gong et al. 2019;;https://gee-community-catalog.org/projects/glc10/;https://www.dess.tsinghua.edu.cn/info/1120/1418.htm;Cropland, forest, grass, shrub, water, impervious, bareland, snow/ice, cloud; (? NR, ? NR,  ? NR). ;Global;10;2017;2017;annual;Sentinel-2;"Indices of vegetation (normalized difference vegetation index, enhanced vegetation index), water (modified normalized differ ence water index), built-up (normalized difference built-up index), and burning (normalized burn ratio); 25%, 50%, 75%, percentile of the annual time-series image spectral values; mean and standard deviations of each of the previous features; elevation, slope, aspect, and hill shadow; and longitude and latitude of the sample location.";Random Forest Classifier;Supervised Classical Machine Learning (ML);~340,000 sample units (30×30 m to 500×500 m) located at ~93,000 sites worldwide.;"Multi-seasonal sampling from Landsat 8 images; land-cover types at different seasons interpreted and split into training and validation sets";Landsat 8 images (2014–2015);~140,000 sample units at >38,000 locations;72.76% (global, validated against 2015 validation sample);"[Target class = Forest Class/Tree cover]Producer's Accuracy (Omission error) -84.20%; User's Accuracy  (Commision error) - 83.47%";NA;Validation used the 2015 global 30-m resolution sample set. The 2017 FROM-GLC30 map was also compared to the same 2015 sample, achieving 72.43% O.A. FROM-GLC10 showed finer spatial detail, improving distinction between forest, shrub, and grassland classes.;NR;
8;Forest Height - GLAD ARD - Thematic map of Global Land Cover and Land Use Change;Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD);Potapov et al., 2022;;No link, it needs to be inserted as an Asset;https://glad.umd.edu/users/Potapov/GLCLUC2020/Forest_height_2020/;Forest height( in meters) and non-forest (or no data); (? 5m*, ? 0.5ha,  ? NR). Forest class includes areas of wildland, managed, and planted tree cover, including agroforestry and orchards, but excludes temporally unstocked forest areas. (*) Woody vegetation starts from 3m.;Global;30;2000;2020;annual, but only 2 years, 2000 AND 2020;Global Ecosystem Dynamics Investigation (GEDI, https://gedi.umd.edu/) lidar forest structure measurements and 2000-2020 Landsat analysis-ready data time-series ;The GEDI 95th percentile of waveform energy relative to ground elevation was used as the training variable representing vegetation vertical structure. Predictor variables consist of phenology metrics derived from annuall, gap-filled clear-sky time series ranked by reflectance, brightness temperature, and vegetation indices (NDVI and NDWI). From these rankings, statistical descriptors are extracted, including key ranks (minimum, maximum, quartiles), interrank means, and amplitude measures. These phenological indicators are complemented by topographic metrics.;Regression tree ensembles ;Supervised Classical Machine Learning (ML);Reported only sampling arrangement;Comparison of 2020 forest height map with GEDI RH95 metric values within stable forests (?5?m tree height in 2000 and 2020, no disturbance);GEDI Collection 2 RH95 (April 2019 – September 2020);104.7 million GEDI footprints;"NA (Not expressed as a thematic percentage; forest height model accuracy evaluated in meters)";NA;RMSE, MAE, R²;"Year 2019 forest height map validated against GEDI Collection 1: RMSE = 6.6 m, MAE = 4.45 m, R² = 0.62; airborne lidar: RMSE = 9.07 m, MAE = 6.36 m, R² = 0.61. Year 2020 map validated against GEDI Collection 2 RH95 (stable forests): RMSE = 6.75 m, MAE = 4.76 m, R² = 0.53. Validation limited to forest pixels ?5 m (map) and ?3 m (GEDI).";• Challenges with sparse or open canopy forests: GEDI-calibrated forest height maps reveal forests ?5 m in height within open-canopy regions and savannas that WorldCover classifies as shrubland.;
9;Forest Extent - GLAD ARD - Thematic map of Global Land Cover and Land Use Change;Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD GLAD);Potapov et al., 2022;;No link, it needs to be inserted as an Asset;https://glad.umd.edu/users/Potapov/GLCLUC2020/Forest_extent_2020/;Forest, non-forest ; (? 5m, ? 0.5ha,  ? NR). Forest class includes areas of wildland, managed, and planted tree cover, including agroforestry and orchards, but excludes temporally unstocked forest areas.;Global;30;2000;2020;annual, but only 2 years, 2000 AND 2020;Dataset based on Forest height;The dataset is based on Forest height – GLAD ARD, with forest extent defined by a minimum forest height threshold of 5 m.;Binary thresholding of canopy height;Rule-based/Threshold-based;NA;"Stratified sampling across five forest-change strata (stable non-forest, stable forest, forest loss, forest gain, disturbed/adjacent pixels); pixels interpreted independently by two experts using Landsat GLAD ARD 16-day time series, annual/bimonthly composites, and high-resolution imagery from Google Earth";Landsat GLAD ARD and high-resolution imagery (period not explicitly stated);1,000 sample pixels (200 per stratum);97.2% (Forest extent 2020);"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 94.8%; User's Accuracy  (Commision error) -94.6%";NA;Validation based on sample-based assessment of forest extent maps for 2000 and 2020, including stable forest class. Standard error for both overall accuracies: ±0.7%. High accuracy observed across both temporal products.;"•  Continuous variables mapping: Forest height and similar metrics are challenging to estimate with medium-resolution optical data; tree height models may saturate above 30 m.
•  Reporting limitations: Map-based estimates alone are insufficient for national or international reporting due to unknown spatial and temporal error variability; probability-based sampling is recommended.
•  Country-level forest area differences: The map underestimates forest area in Brazil, Canada, and Australia (~0.5 million km² each) and shows much lower forest cover in Somalia, Botswana, and Namibia compared to FAO FRA. Conversely, forest area is overestimated in Indonesia, DRC, and Central African Republic.
•  Forest definition inconsistencies: Differences in national forest definitions and the exclusion of agroforestry and tree crops from FAO FRA estimates contribute to discrepancies.
•  Overestimation by other products: ESA WorldCover 2020 overestimates forest area globally by 6–7%, driven by non-forest tundra regions misclassified as forest.
•  Continuous vs discrete mapping: Continuous forest height data better capture vegetation structure and carbon storage than discrete land cover classifications.";
10;GEDI-Height-2019 - Global Forest Canopy Height from GEDI & Landsat;Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD GLAD);Potapov et al., 2021;;https://gee-community-catalog.org/projects/gfch/;https://glad.umd.edu/dataset/gedi/;Forest and non-forest classes, where forests contains different tree heights; (? 0m*, ? NR,  ? NR). Mapping tree cover including plantation, agroforestry, managed and planted trees, etc. (*) Minimum Tree height can be set by the user.;Global;30;2019;2019;annual;The Global Ecosystem Dynamics Investigation (GEDI) lidar instrument onboard the International Space Station and Landsat.;Individual Landsat scenes were combined into 16-day composites, using observation quality information to favor clear-sky data. Each composite includes normalized surface reflectance for visible, NIR, and SWIR bands, brightness temperature, and quality indicators. From the resulting time series, summary statistics are derived by ranking observations by reflectance or index values, using multiple spectral indices and variability measures (e.g. NDVI, spectral variability, tasseled cap greenness).;Regression Tree model ;Supervised Classical Machine Learning (ML);"372 million GEDI samples; randomly split 90% training / 10% validation; In average ~31,000 samples per 1×1° Landsat GLAD ARD tile (range: few to ~200,000 samples)";"Comparison of Landsat-derived forest height products with reference data (GEDI RH95 and ALS canopy height) at pixel/grid scale; forest detection accuracy quantified by transforming both datasets into binary forest/non-forest classes for multiple thresholds (?3?m, ?5?m, ?10?m); 10% of GEDI observations set aside for validation; per-tile random sampling applied";"GEDI RH95 gridded to Landsat pixels (2019); ALS canopy height (selected areas in USA, Mexico, DRC, Australia; period not explicitly stated)";"13.4 million GEDI validation samples; additional ALS validation samples (number not specified)";"Overall Accuracy (by threshold and reference dataset):
Forest ?3 m: 83.0% (GEDI), 87.6% (ALS)
Forest ?5 m: 87.8% (GEDI), 88.1% (ALS)";"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) -66.7%; User's Accuracy (Commision error) - 89.0%";"Height accuracy metrics (2019 map):
GEDI Collection 1: RMSE = 6.6 m; MAE = 4.45 m; R² = 0.62
ALS: RMSE = 9.07 m; MAE = 6.36 m; R² = 0.61";Accuracy assessed using binary forest/non-forest thresholds (?3 m, ?5 m, ?10 m). Higher uncertainty observed when compared with ALS data. Mean height difference of ?3.8 m indicates systematic underestimation of forest height. Underestimation is stronger in short forests (~3 m) and tall forests (>21 m).;"•  GEDI data overestimation on slopes: Forest heights are overestimated in temperate and subtropical mountain grasslands (e.g., New Zealand, Lesotho).
•  Urban height confounding: Tree heights over cities and suburbs may be mixed with building heights.
•  GEDI calibration uncertainties: Errors in geolocation and land surface height estimation can contribute to map inaccuracies.
•  Model saturation: The forest height model saturates above 30?m, underrepresenting the tallest trees.
";
11;PALSAR-2 FNF v2.0.0 - Global 4-class PALSAR-2/PALSAR Forest/Non-Forest Map;Japan Aerospace Exploration Agency (JAXA);Shimada et al. 2014;;https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_FNF4#description;https://www.eorc.jaxa.jp/ALOS/en/dataset/fnf_e.htm;Forest, non-forest, and water area.; (? 5m, ? 0.5ha,  ? 10%). Forest class includes some plantations (e.g., rubberwood, cork oak, christmas tree plantations and etc.), and planted trees/forests.;Global;25;2017;2020;annual;L-band Synthetic Aperture Radar sensors on the Advanced Land Observing Satellite-2 (ALOS-2 PALSAR-2), the Advanced Land Observing Satellite (ALOS PALSAR) and the Japanese Earth Resources Satellite-1 (JERS-1 SAR);In addition to L-band SAR, both HH and HV polarizations are employed for classification. The process involved input from contributing countries and workshops, covering four main land cover classes and utilizing over 73 spectral libraries.;Random Forest machine learning-based classification;Supervised Classical Machine Learning (ML);NR;"Visual interpretation of 40?m radius circles centered on target points in Google Earth; non-forest categories combined for evaluation; validity calculated against these interpreted points";Google Earth imagery (period not specified);NR;? 86% (three-category case, 2017–2020);NR;"Four-category case: ? 76% overall accuracy (2017–2020)
Kappa coefficient: 0.68–0.94";Accuracy assessed for two classification schemes: a four-category case and a simplified three-category case (forest classes merged). The three-category aggregation increased overall accuracy by approximately 5–10% compared to the previous version. Validation performed for four consecutive years (2017–2020);NR;
12;GLCLU - GLAD 2019 - Global land cover and land use 2019 ;Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD GLAD);Hansen et al., 2022;;"https://code.earthengine.google.com/82b7ef8d9d50c68029b5b1fb2774ab8f#https://glad.umd.edu/dataset/global-land-cover-land-use-v1=https://glad.umd.edu/dataset/global-land-cover-land-use-v1;";https://glad.umd.edu/dataset/global-land-cover-land-use-v1;Bare ground, Semi-arid vegetation, Dense short vegetation, Open or short tree cover, Dense and tall tree cover, Wetland, Permanent surface water, Permanent ice, Built-up land, Cropland, Treed land use, Other land use.; (? 3m, ? NR  ? 10%). Forest defined as woody vegetation. ;Global;30;2019;2019;annual;Landsat 16-day Composite Imagery;Landsat and topographic metrics used for wetlands, complemented by ancillary data including tree height from GEDI space-borne lidar and road networks from OpenStreetMap to identify built-up areas.;Several approaches used for different land cover class: Global regression tree, Regional classification trees, Locally calibrated regression trees, Regional QA models of water and snow/ice, Regional deep learning convolution neural networks, and Global/regional hybrid decision tree.;Hybrid;NR, but the training data were mainly obtained from labels interpreted by domain experts.;A probability-based stratified random sampling design was implemented across 19 strata derived from 30 m continuous and discrete land-cover classes. Fifty sample points were allocated to each stratum with equal inclusion probability at the global level. Accuracy assessment and area estimation were conducted following standard stratified estimation procedures, with global accuracy metrics reported alongside standard errors to quantify sampling variability;"Google Earth imagery and MODIS time-series data (250 m red, NIR, SWIR bands; NDVI, NDWI; period not explicitly stated)";"NR but the intended arrangement is: 19 strata; 50 sample points per stratum; total ~950 samples";78.35% (±1.86 SE);"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) -58.90% (open tree cover) and 87.36% (dense tree cover); User's Accuracy (Commision error) - 70% (open tree cover) and 78% (dense tree cover)%";"Standard Error (SE): 1.86
Area estimates derived from stratified sample";NR;NR;
13;CHM-1m - Meta/WRI Global Canopy Height;Meta Sustainability and WIR;Tolan et al., 2023;;https://gee-community-catalog.org/projects/meta_trees/;https://registry.opendata.aws/dataforgood-fb-forests/;Canopy Height; (? 1m*, ? NR,  ? NR). Tree cover mapping. ;Global;1;2009;2020;single layer combined years 2009 - 2020;Maxar Vivid2 mosaic imagery1 served as input imagery for model training and inference. This dataset provides global coverage by mosaicing together imagery from multiple instruments (WorldView-2 (WV 2), WorldView-3 (WV 3), Quickbird II) and observation dates;"Unlabeled optical RGB images -> used for self-supervised pretraining; Aerial LiDAR Canopy Height Maps (CHMs) –> high-resolution canopy structure information for training the model; GEDI Relative Height (RH) measurements –> used as ground truth for coarse-resolution correction";Self-Supervised learning and simple convolution network;Deep Learning;"NR, but patches are extracted from optical imagery centered on locations with corresponding CHM / GEDI data. Sampling arrangement: NEON ALS (National Ecological Observatory Network – Airborne Laser Scanning) images; split 80% training / 10% calibration / 10% validation";Model evaluation incorporated canopy height, segmentation, and tree instance metrics, using a dataset split into training (80%), calibration (10%), and set-aside validation (10%) subsets. Calibration metrics were computed after each epoch using non-overlapping tiles. Segmentation accuracy uncertainty was estimated via 10,000-iteration bootstrapping to account for the cluster sampling design. All metrics were evaluated at both the global scale and across UN geoscheme regions.;Validation performed using a human-annotated dataset derived from randomly sampled GEDI footprints (RH95 > 3 m) from a global set-aside validation set, independent of aerial lidar training data. Accuracy also evaluated against NEON test data and region-specific datasets (e.g., São Paulo, France);"NR. NEON ALS images; split 80% training / 10% calibration / 10% validation";74% (±0.006) IOU- (Intersection over Union) since it measures human-annotated labels;"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) -77% ±0.008; User's Accuracy (Commision error) - 88% ±0.006)";"Canopy height metrics: MAE; R²-block (computed on 50 × 50 pixel / 30 × 30 m blocks); edge accuracy reported separately";NR;"•	The availability of recent ALS training data is limited in geographic scope. While self-supervised learning and the GEDI-based corrective model improve generalization and reduce test error, increased geographic availability of ALS remains necessary to further validate the proposed maps in new areas.

•	The generated maps are limited by variations in input imagery, particularly in view angle, sun angle, acquisition times and dates, and optical aerosol.

•	Terrain slope appears to influence predicted height since it affects the length of the shadow an individual tree casts.

•	Currently, the ability to conduct tree height change detection assessments is limited by the need for improved input image processing to better align differences between image pairs.

•	As indicated in Section 4.4, there is a bias towards underestimating canopy height for taller trees, particularly in the Brazilian states of S?o Paulo and Espirito Santo. This effect may be due to the relative scarcity of the highest heights in the training data and requires further investigation.";
14;ETH - 2020 -  High-resolution canopy height model of the Earth;EcoVision Lab, Photogrammetry and Remote Sensing, ETH Zürich;Lang et al., 2023;;https://nlang.users.earthengine.app/view/global-canopy-height-2020;https://langnico.github.io/globalcanopyheight/;Canopy Height; (? 0m*, ? Xha,  ? X%). Tree cover mapping. (*) Minimum Tree height can be set by the user.;Global;10;2020;2020;annual;Sentinel-2 and GEDI LIDAR–derived canopy top height (RH98);NR;Convolutional neural networks (CNNs);Deep Learning;Total dataset: 600 million samples, extracted as 15×15 pixel Sentinel-2 patches around GEDI footprints acquired between April and August 2019–2020. Training split: Remaining 80% of Sentinel-2 tiles used for training.;"Global evaluation using spatial holdout at Sentinel-2 tile level; 20% of 100 × 100 km Sentinel-2 tiles reserved for validation and 80% used for training; independent secondary evaluation against airborne LiDAR canopy-top heights";"GEDI footprints with Sentinel-2 image patches (April–August 2019/2020; Sentinel-2 data mainly May–September 2020); additional reference from LVIS RH98 and ALS-derived canopy height models";Total dataset: 600 million samples, extracted as 15×15 pixel Sentinel-2 patches around GEDI footprints acquired between April and August 2019–2020. Validation split: 20% of Sentinel-2 tiles (100×100 km each) held out for validation;NA;NA;"RMSE: 6.0 m (all samples), average RMSE (height-balanced): 7.3 m
MAE: not explicitly reported
Mean Error (ME / bias): 1.3 m (all samples), -1.8 m (height-balanced)";Validation focuses on canopy height estimates. Height balancing was applied across 5-m intervals to reduce bias for taller canopies. Slight overestimation occurs for low canopy heights. All metrics derived from the full validation dataset.;"•  Effective spatial resolution lower than nominal: Each 10?m pixel effectively reflects the largest canopy-top height within a ~25?m GEDI footprint, reducing the ability to resolve individual vegetation features.
•  Sparse supervision and geolocation errors: Limited GEDI coverage and 15–20?m geolocation uncertainty obscure fine-scale canopy height variations and introduce noise between adjacent pixels.
•  Tiling artifacts and systematic offsets: Tile borders, especially at high latitudes, show inconsistencies, potentially degrading absolute height estimates for locally unique vegetation structures.
•  Overestimation in low-canopy areas: Canopy heights under 5?m tend to be overestimated, despite accurate tall canopy mapping.
•  Persistent cloud cover artifacts: Minor map artifacts occur in regions with high cloud frequency.
•  High predictive uncertainty in specific regions: Tropical areas (e.g., Papua New Guinea) and northern latitudes (e.g., Alaska) exhibit high uncertainty.
•  Optical-only limitations: Reliance solely on optical imagery constrains the accuracy of canopy height estimation, suggesting the need for integrating additional environmental predictors.
•  Potential for future improvement: Super-resolution methods, updated GEDI versions, and uncertainty-based filtering could enhance small-feature preservation and reduce biased estimates.
";
15;GFCC30TCC-v4 - Global Forest Cover Change (GFCC) Tree Cover Multi-Year Global;National Aeronautics and Space Administration (NASA);Sexton et al., 2013;;https://gee-community-catalog.org/projects/global_tcc/;https://e4ftl01.cr.usgs.gov/MEASURES/GFCC30TC.003/;Tree cover;(? 5m, ? NR,  ? 0%*). Mapping of woody vegetation. (*) Minimum canopy cover can be set by the user.;Global;30;2000;2015;5-years;The product is derived from all seven bands of Landsat 5 Thematic Mapper (TM) and/or Landsat 7 Enhanced Thematic Mapper Plus (ETM+)  and Sentinel-2 imagery;"Landsat surface reflectance from all seven bands of Landsat 5 TM and/or Landsat 7 ETM+;  Ancillary data (unspecified); 250-m MODIS VCF Tree Cover estimates (used as reference for downscaling); LiDAR point data (~13 points/m² in 250×250 m subsets) for tree/non-tree classification";Continuous field modeling approach (Tree cover was mapped using a continuous field modeling approach, in which Landsat spectral information and ancillary data were used to rescale the coarse-resolution MODIS VCF tree cover estimates to a finer 30 m resolution.);Deep Learning;Exact number of training samples is not explicitly stated, but Training data were generated by overlaying MODIS VCF tree cover (250m) on rescaled Landsat layers, then drawing a joint sample of cover and reflectance variables per Landsat scene. LiDAR subset provides ~812,500 points per 250×250 m area (estimate) for local calibration;Cross-validation-based accuracy against lidar measurements, 10-fold cross-validation fo pixel-level uncertainty assessment, and a parallel validation assessment using MODIS VCF;"Lidar measurements (period not explicitly stated); consistency check against MODIS VCF Tree Cover (2000–2005)";"NR; validation performed via 10-fold cross-validation using the full training dataset (no independent validation sample size specified)";NA;NA;RMSE: 17.4% (Landsat-based estimates) vs 16.8% (MODIS VCF);"Assessment limited to North and Central America. Rescaling MODIS to Landsat resolution caused minimal loss of thematic information. Uncertainties largely inherited from MODIS training data; regression slopes <1 and intercepts >0 indicate underestimation of high tree cover (>80%). Ancillary data (crop probability and non-forest masks) helped reduce overestimation in agricultural areas.";NR;
16;"LCFM v1 - Copernicus Global Land Cover
and Tropical Forest Mapping and
Monitoring service";JRC - Copernicus Land Monitoring Service;European Union's Copernicus Land Monitoring Service information, 2025;;NR;https://land.copernicus.eu/en/products/global-dynamic-land-cover/land-cover-2020-raster-10-m-global-annual;Tree cover, Shrubland, Grassland, Cropland, Herbaceous wetland, Mangroves, Moss and lichen, Bare / sparse vegetation, Built-up, Permanent water bodies, Snow and ice, Unclassifiable; (? NR, ? NR,  ? 50%). Geographic area dominated by trees such as areas with planted trees for afforestation and other plantations (e.g. oil palm, olive trees). It may include some mangrove areas.;Global;10;2020;2020;annual;"Copernicus Sentinel-1 L3 Monthly Mosaics; Copernicus Sentinel-2 L2A; Copernicus GLO-30 Digital Elevation Model (DEM); AgERA5 V1; Land Cover Map Training Data (LCM-TD) ";The classification integrates multi-source features from optical, radar, climatic, and spatial data. Sentinel-2 inputs are temporally composited and summarized using percentile statistics, with data quality controlled through the Land Occlusion Score (LOS), which models clouds, shadows, snow, and surface probabilities. Sentinel-1 backscatter (VV, VH, and their ratio) is likewise aggregated into percentile-based temporal metrics. Climatic variables from AgERA5 are summarized and reduced into low-dimensional embeddings using UMAP to capture regional meteorological patterns. Additional spatial features, including geographic coordinates and elevation, provide contextual information, allowing the model to combine spectral, structural, climatic, and locational signals within a unified classification framework.;EvoNet based land cover model training and global inference (algorithm method that combines the advantages of CNNs with traditional pixel-based classifiers within a single integrated framework);Deep Learning;"The training dataset consists of over 45,000 image patches, each measuring 1280 × 1280 m², sampled globally using a heterogeneity-based strategy.

A class-balanced subset of these ~45,000 patches was used to train the AI model, while a separate independent subset was reserved for global validation.";The validation followed a blind, probability-based response design in which 1-hectare spatial assessment units (containing 100 pixels of 10 m × 10 m) were interpreted independently of the map’s predicted classes. Each pixel within the hectare was assigned a reference land-cover code according to the product’s class definitions, using both the pixel-level signal and surrounding contextual information to support consistent interpretation. Validation was conducted on the native LCM-10 product in its original UTM projection to ensure perfect spatial alignment with Sentinel-2 pixels and equal-area assessment globally, thereby avoiding distortions or resampling errors from reprojection. This design enabled the estimation of class-specific omission and commission errors at a standardized spatial unit.;An independent probability-based sample selected using a global hexagonal DGGS (H3) grid generated visual interpretation of sampled locations;The accuracy assessment used 10,702 validation samples (1 ha each) for continental, biome, and country-level metrics, and a double-interpreted subset of 1,070 samples (overlapping with the larger set) to compute the global accuracy metrics.;80.10% ± 0.20%;"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 90.9%; User's Accuracy  (Commision error) - 83.39%";NR;Most land-cover classes met or exceeded target performance levels. However, some class-specific weaknesses were identified through user’s and producer’s accuracy metrics and analysis of the confusion matrices. Grassland (class 30) and Herbaceous Wetland (class 50) exhibited low producer’s accuracy, indicating omission errors. Moss and Lichen (class 70) and Built-up areas (class 90) showed low user’s accuracy, reflecting commission errors. Shrubland (class 20) was the only class with low performance in both user’s and producer’s accuracy, suggesting both omission and commission issues.;"
•  Global overall accuracy of LCM-10 2020 V1 is 80.10% ± 0.20%, below the target of 85%.
•  Only 6 out of 11 classes meet the 75% accuracy threshold; fails secondary validation requirement of ?75% accuracy for at least two-thirds of classes.
•  Herbaceous Wetland narrowly misses the 75% User Accuracy target.
•  Shrubland and Grassland show high confusion with each other and Tree Cover, especially in mixed or semi-arid/tropical ecotones.
•  Moss and Lichen have high commission errors, with Grassland and Bare/Sparse Vegetation often misclassified as this class.
•  Built-up areas exhibit high commission errors due to misclassification of low-density residential areas, gardens, bare surfaces, and unpaved roads.";
17;GFW/Hansen Map - Global Forest Watch Global Forest Change Data v1.11 ;Global Land Analysis and Discovery (GLAD) laborator, Department of Geographical Sciences (UMD), University of Maryland USA and Global Forest Watch (GFW);Hansen et al., 2013;;https://developers.google.com/earth-engine/tutorials/tutorial_forest_02;https://storage.googleapis.com/earthenginepartners-hansen/GFC-2023-v1.11/download.html;"Treecover2000 (in%); gain, loss, Landsat band cloud-free image composite (8 classes-bands), datamask and lossyear"; (? 5m, ? NR,  ? 10%). Primarily mapping of tree cover with vegetation greater than 5 meters in height taking form of natural forests or plantations. ;Global;30;2000;2023;annual;Landsat 7 Enhanced Thematic Mapper Plus (ETM+) scenes;The metrics define a general feature space suitable for regional-scale mapping and have been widely applied using MODIS, AVHRR, and more recently Landsat data to characterize forest cover loss. Three types of per-band metrics are used over the study period: percentile-based reflectance values (minimum, maximum, and selected percentiles), mean reflectance within defined percentile intervals, and temporal trends derived from linear regression slopes of reflectance over time.;Bagged decision tree (bootstrap aggregating);Supervised Classical Machine Learning (ML);NR. Training data were derived from expert interpretation of high-resolution imagery and existing tree cover maps, labeling forest loss, gain, and no-change areas.;"Probability-based stratified random sampling across five biomes and three sub-strata per biome (no change, loss, gain); each 120?m sample block interpreted into quartiles of reference change using time-series Landsat, MODIS, VHR imagery (QuickBird, Google Earth), and LiDAR (GLAS/ICESat-1)";"Very high-resolution imagery (QuickBird, Google Earth), Landsat, MODIS, NASA GLAS LiDAR; period not explicitly stated";1,500 sample blocks (150 no change, 90 loss, 60 gain per biome);"Loss -> 99.6% (0.7% SE); Gain -> 99.7% (0.6% SE)";"Forest gain: User’s Accuracy = 82%, Producer’s Accuracy = 48%; Commission errors = 13%, Omission errors = 12%";NR;"Overall accuracy of >80% for forest loss globally. High uncertainty for tropical forest gain (95% CI: 0.01–0.35% of land area). Possible overestimation of boreal forest gain. Validation at 120 m pixel scale; accuracy varies by biome.";"•  High uncertainty in tropical forest gain estimates: The 95% confidence interval for bias ranges from 0.01% to 0.35% of land area.
•  Potential overestimation of boreal forest gain.
•  Validation resolution constraints: While robust at the 120?m pixel scale, finer-scale accuracy or small-scale changes may be less certain.
";
18;GEM-Forest: A Global satellite EMbedding–based map of forests and tree crops for 2020;Google DeepMind (Alpha Earth Foundation - AEF);Paluba et al. 2026;https://egusphere.copernicus.org/preprints/2026/egusphere-2026-1401/;https://gee-community-catalog.org/projects/gem_forest/?h=tree+cover;https://doi.org/10.5281/zenodo.18921586;;;;;;;;;;;;;;;;;;;;;
19;Natural forests of the world 2020 - probability maps;Google DeepMind;Neumann et al. 2025;https://www.nature.com/articles/s41597-025-06097-z;https://developers.google.com/earth-engine/datasets/catalog/projects_nature-trace_assets_forest_typology_natural_forest_2020_v1_0_collection#citations;https://plus.figshare.com/articles/dataset/Natural_forests_of_the_world_2020_-_probability_maps/28881731;;;;;;;;;;;;;;;;;;;;;
20;Global 2020 Forest Classification for IPCC Aboveground Biomass Tier 1 Estimates, V1;Department of Geographical Sciences at the University of Maryland USA (UMD);Hunka et al. 2020;https://www.nature.com/articles/s41597-024-03930-9;https://developers.google.com/earth-engine/datasets/catalog/NASA_ORNL_global_forest_classification_2020_V1#citations;n.a.;;;;;;;;;;;;;;;;;;;;;
